Word,Frequency
the,336
to,261
and,231
of,165
a,130
we,125
in,116
for,88
that,73
i,65
our,58
is,55
on,48
are,45
more,44
it,43
will,41
have,40
not,38
but,37
at,36
america,34
all,34
with,34
from,33
their,33
do,29
people,28
this,28
so,27
american,25
us,25
last,24
who,24
can,24
up,24
law,23
just,23
down,22
make,22
as,22
world,20
was,20
be,20
together,20
when,20
them,19
new,18
act,18
been,18
job,18
an,18
than,18
also,17
tonight,17
jobs,17
if,17
has,17
or,17
here,17
no,16
nation,16
americans,16
these,15
those,15
because,15
what,15
need,14
come,14
one,14
about,14
companies,14
he,14
too,14
home,13
medicare,13
two,13
pass,13
finish,13
making,13
workers,13
like,12
president,12
must,12
work,12
over,12
cut,12
get,12
know,11
health,11
millions,11
there,11
congress,11
never,11
lives,11
cancer,11
how,11
she,10
made,10
children,10
time,10
record,10
tax,10
much,10
now,10
stand,10
against,10
care,9
came,9
her,9
bipartisan,9
decades,9
go,9
big,9
back,9
month,9
right,9
families,9
protect,9
into,9
ago,9
most,9
since,8
inflation,8
plan,8
fees,8
want,8
other,8
working,8
child,8
stop,8
drug,8
did,8
social,8
power,8
crisis,7
republicans,7
strong,7
seniors,7
let,7
without,7
million,7
violence,7
signed,7
put,7
going,7
drugs,7
same,7
billion,7
ban,7
out,7
projects,7
ever,7
where,7
had,7
used,7
economic,6
mental,6
jill,6
veterans,6
businesses,6
democrats,6
keep,6
debt,6
deficit,6
me,6
covid,6
small,6
something,6
support,6
next,6
some,6
chips,6
again,6
school,6
should,6
under,6
trust,6
infrastructure,6
house,6
coming,6
access,6
prices,6
example,6
first,6
dollars,6
gun,6
created,6
good,6
god,5
would,5
homes,5
long,5
best,5
friends,5
pandemic,5
look,5
doing,5
border,5
lost,5
insulin,5
building,5
cost,5
administration,5
stronger,5
united,5
major,5
manufacturing,5
hundreds,5
before,5
laws,5
prescription,5
middle,5
give,5
after,5
left,5
costs,5
help,5
test,5
global,5
fair,5
being,5
remember,5
affordable,5
public,5
save,5
bills,5
sure,5
his,5
investments,5
war,5
ask,5
four,5
went,5
republican,5
restore,5
were,5
states,5
then,4
thousands,4
raise,4
imagine,4
things,4
death,4
fight,4
federal,4
police,4
competition,4
room,4
parents,4
afford,4
enforcement,4
pride,4
daughter,4
taking,4
folks,4
safe,4
clean,4
fraud,4
training,4
past,4
once,4
another,4
officers,4
even,4
hope,4
rate,4
progress,4
factories,4
ohio,4
instead,4
charging,4
speaker,4
diabetes,4
fund,4
corporations,4
well,4
reduction,4
leader,4
started,4
often,4
profits,4
investing,4
helping,4
future,4
share,4
least,4
china,4
paid,4
class,4
products,4
gets,4
moment,4
place,4
college,4
shared,4
clear,4
plans,4
joining,4
across,4
bridges,4
built,4
courage,4
few,4
still,4
taxes,3
each,3
food,3
times,3
unfair,3
assault,3
term,3
vice,3
define,3
members,3
mr,3
issue,3
gave,3
little,3
education,3
state,3
personal,3
office,3
agree,3
its,3
union,3
doug,3
responsible,3
hold,3
electric,3
medical,3
degree,3
lot,3
1,3
thought,3
fact,3
12,3
saving,3
aggression,3
junk,3
written,3
show,3
while,3
face,3
done,3
moments,3
water,3
end,3
nothing,3
historic,3
turn,3
provide,3
said,3
happened,3
ten,3
challenges,3
career,3
unite,3
create,3
europe,3
took,3
happen,3
night,3
off,3
schools,3
closed,3
months,3
ava,3
full,3
credit,3
national,3
matter,3
resilience,3
conflict,3
able,3
thing,3
told,3
found,3
surprise,3
commit,3
giving,3
named,3
sick,3
whether,3
climate,3
bet,3
fellow,3
benefit,3
wrote,3
chamber,3
bill,3
getting,3
billions,3
offer,3
watching,3
take,3
fighting,3
including,3
better,3
think,3
black,3
internet,3
prevent,3
lead,3
sake,3
behind,3
high,3
advantage,3
profit,3
enough,3
reform,3
life,3
soul,3
increase,3
means,3
hands,3
online,3
free,3
during,3
10,3
thanks,3
dreams,3
passed,3
production,2
connect,2
thank,2
gone,2
friend,2
between,2
drive,2
itself,2
moving,2
roads,2
greatest,2
unleashed,2
street,2
tries,2
saw,2
pain,2
through,2
son,2
takes,2
own,2
sent,2
pits,2
wrong,2
minimum,2
peace,2
ensure,2
faced,2
burn,2
understand,2
ticket,2
cap,2
worth,2
biggest,2
ambassador,2
legislation,2
gas,2
launched,2
banning,2
scars,2
30,2
tens,2
capitalism,2
forces,2
ceiling,2
airports,2
data,2
trafficking,2
saved,2
pelosi,2
fundamental,2
met,2
cracking,2
faith,2
allow,2
change,2
words,2
start,2
veto,2
works,2
sara,2
immigration,2
increasing,2
does,2
prescribe,2
having,2
around,2
single,2
cutting,2
11,2
