Distance,Frequency
72,1
209,1
3,2
101,1
57,1
87,1
28,3
51,1
49,1
7,1
135,1
10,1
26,2
219,1
78,1
16,2
29,1
160,1
36,1
103,1
167,1
18,1
9,1
216,1
82,2
35,1
6,1
48,1
63,1
