Distance,Frequency
18,2
36,3
17,2
12,4
73,1
169,1
48,2
82,1
33,2
11,4
114,1
3,4
22,1
30,1
57,1
31,1
23,2
13,4
32,1
20,2
5,7
14,6
24,2
6,8
29,2
8,6
1,2
138,1
2,10
58,1
55,2
35,1
15,1
19,3
21,4
7,3
9,4
10,5
62,1
4,6
