Word,Frequency
the,100
and,96
we,87
of,77
to,65
a,46
our,43
in,42
this,36
i,33
will,33
for,33
is,29
us,27
that,24
not,23
be,21
have,20
as,19
america,18
all,17
but,16
can,16
one,15
are,14
nation,12
on,12
with,12
who,11
do,11
those,10
me,10
must,10
so,9
has,9
through,9
another,9
know,8
when,8
more,8
it,8
much,8
been,8
american,8
people,8
there,8
their,8
world,8
here,8
americans,8
