Distance,Frequency
65,1
24,1
4,3
55,1
22,1
52,1
34,1
48,1
107,1
80,1
2,3
67,1
51,2
5,3
121,1
167,1
11,5
6,1
84,2
98,1
27,4
89,1
7,3
3,3
42,1
16,2
60,1
62,1
31,2
12,2
76,2
23,1
13,5
38,1
29,1
94,1
72,2
17,1
35,1
14,2
10,1
30,1
8,1
20,2
39,1
68,1
91,1
21,1
46,1
70,2
15,3
32,1
