Distance,Frequency
19,1
128,1
7,1
25,1
16,1
54,1
10,1
64,2
41,1
77,1
49,1
6,4
61,1
2,5
48,1
39,1
13,3
17,3
140,1
5,3
12,1
4,3
107,1
21,3
18,1
15,2
62,1
103,1
63,1
22,3
30,1
115,2
51,1
28,1
32,1
1,3
65,1
44,1
31,3
3,3
33,2
106,1
20,3
23,2
8,3
55,1
60,3
83,1
34,1
