Distance,Frequency
4,2
45,1
42,1
28,1
24,2
14,2
89,1
87,1
18,4
3,4
10,1
34,1
86,1
32,1
6,1
29,1
66,1
2,4
25,1
15,1
11,1
59,1
5,1
27,3
68,1
23,3
8,3
30,1
43,1
38,1
12,2
7,1
81,1
111,1
46,1
16,1
41,1
72,1
13,3
189,1
186,1
36,1
133,1
20,1
