Distance,Frequency
26,2
24,2
5,2
53,1
36,1
11,2
56,1
30,1
9,1
4,4
57,1
37,1
13,2
31,1
64,1
14,1
32,1
90,1
20,2
1,2
3,8
18,1
179,1
39,1
98,1
58,1
96,1
43,1
2,4
94,1
40,1
19,1
76,1
17,3
74,1
7,1
6,6
60,2
88,1
27,2
42,1
62,1
12,1
8,1
63,1
48,1
54,1
